feature	n_pairs	statistic	p_value	p_adjust_bh	significant
Hs.104223_at	25	-0.33462845773951	0.10204599906674791	0.41709640131577724	false
Hs.104305_at	25	0.35822653395004189	0.078692629822526672	0.38590911796455007	false
Hs.104315_at	25	-0.20503246543576911	0.32552115894052597	0.63587160031610623	false
Hs.104320_at	25	-0.61857907968263171	0.00098043780374655306	0.19282265163729534	false
Hs.104347_at	25	-0.39459078253676322	0.050939918138452639	0.33996104710260094	false
Hs.10441_at	25	0.076210180548767006	0.71729989335367217	0.87989429699160981	false
Hs.104476_at	25	0.53772665463343217	0.0055655636694686419	0.23140120364114355	false
Hs.104519_at	25	0.38994853803633067	0.05398007896045405	0.34669163316987711	false
Hs.104555_at	25	0.073889058298550761	0.72557977203070778	0.88346564879983747	false
Hs.104570_at	25	0.5640327068025498	0.0033177580362820942	0.21281350828893167	false
Hs.104576_at	25	0.29787735544441929	0.14811972991419928	0.47255678015054486	false
Hs.10458_at	25	0.19149258564284097	0.35915815676084889	0.66318571813552496	false
Hs.104613_at	25	0.068473106381379503	0.74501483669476787	0.89203619252867683	false
Hs.104624_at	25	-0.063057154464208232	0.76460256128905846	0.90193452544068309	false
Hs.104633_at	25	0.64720625410196542	0.00047076921585800216	0.18419519632302347	false
Hs.104636_at	25	0.01779527058499128	0.9327165450092072	0.97415336181396517	false
Hs.104637_at	25	0.32495711503027558	0.11297427039583281	0.43121376934166067	false
Hs.104650_at	25	-0.31064352782060867	0.13069262266125492	0.4539646687145355	false
Hs.104672_at	25	-0.027466613294225672	0.89630825043786366	0.95938480268918214	false
Hs.104741_at	25	-0.48472769658682768	0.014059894016975053	0.25685213119090822	false
Hs.104744_at	25	0.27466613294225672	0.18393159763301004	0.51489050274371762	false
Hs.104777_at	25	0.31799374827962684	0.12135897242409742	0.44171937805630962	false
Hs.104806_at	25	0.095939719675605162	0.64825001706243413	0.8445759631773192	false
Hs.104865_at	25	0.2355939083969498	0.25691583669147122	0.58244119842532383	false
Hs.104879_at	25	-0.15087294626405651	0.47159836299612845	0.74255198289336288	false
Hs.104894_at	25	0.1241800403865696	0.55424635962206881	0.79121190003784658	false
Hs.1048_at	25	0.4452686183331514	0.025712948826693342	0.29018099997433666	false
Hs.104920_at	25	0.19033202451773285	0.36213286392014193	0.66561764249058775	false
Hs.104925_at	25	0.05918861738051448	0.7786811101829535	0.90861214978165505	false
Hs.104941_at	25	0.022437515085423791	0.91521972801194273	0.96658950443428593	false
Hs.104950_at	25	0.51877082292333276	0.0078832477052620809	0.23798819682223216	false
Hs.104977_at	25	0.3814377564522044	0.059918621095291835	0.35580779524701989	false
Hs.104980_at	25	0.041006493087153824	0.8456927794956941	0.93754687652871616	false
Hs.104990_at	25	-0.022050661377054415	0.916676443338859	0.96726299221707424	false
Hs.10499_at	25	0.23791503064716607	0.2521214326983538	0.57803380201951005	false
Hs.104_at	25	0.46964040196042206	0.017852497523080428	0.27070928011181095	false
Hs.105016_at	25	-0.2259225656877154	0.27752441714002601	0.59925335802541424	false
Hs.105103_at	25	0.077757595382244513	0.71179707798356906	0.87721747803548689	false
Hs.105105_at	25	-0.39110909916143882	0.053207126781178893	0.34448225875063809	false
Hs.105134_at	25	-0.398459319620457	0.048510050776117052	0.33642013451886082	false
Hs.105153_at	25	0.031722004086288808	0.8803486518397392	0.95297136372386071	false
Hs.105191_at	25	-0.031722004086288808	0.8803486518397392	0.95297136372386071	false
Hs.1051_at	25	-0.32070172423821242	0.11804597385932693	0.43816029158323283	false
Hs.105268_at	25	0.20774044139435477	0.31903134524198096	0.63105343038652728	false
Hs.105269_at	25	-0.27118444956693233	0.18977798099136378	0.5207999623241677	false
Hs.105352_at	25	-0.17679214472480467	0.39789097305075216	0.69080396626945273	false
Hs.105399_at	25	0.14120160355482211	0.50078914768458505	0.76048284683937784	false
Hs.105407_at	25	0.33617587257298742	0.10037302753400977	0.41558863142922542	false
Hs.105448_at	25	0.24410468998107604	0.23962248028255034	0.5679929795316131	false
Hs.105460_at	25	-0.42747334774816015	0.033051905902643529	0.30936275748595532	false
Hs.105465_at	25	-0.33462845773951	0.10204599906674791	0.41709640131577724	false
Hs.105547_at	25	0.0054159519171712595	0.97950183020165515	0.99235294166415855	false
Hs.105575_at	25	-0.045648737587586329	0.82846472071561239	0.93000202391989661	false
Hs.105584_at	25	0.59227302751351418	0.0018128133179893368	0.19463022986776427	false
Hs.105606_at	25	0.014700440918036276	0.94439845914282394	0.97977924060616339	false
Hs.105607_at	25	0.34081811707341997	0.095476443594913488	0.40871653689873733	false
Hs.105633_at	25	-0.4831802817533502	0.014415394652769283	0.25910284551803836	false
Hs.105636_at	25	0.053385811754973853	0.79992531032262826	0.91777247016100383	false
Hs.105642_at	25	0.24874693448150853	0.23052050649792427	0.56024212673511997	false
Hs.105685_at	25	0.23752817693879669	0.2529164302021174	0.5784033681703965	false
Hs.105779_at	25	0.15009923884731774	0.47390089723431794	0.74413485951614278	false
Hs.105791_at	25	-0.26344737539954483	0.20322389259580168	0.53509850382241442	false
Hs.105806_at	25	-0.18259495035034531	0.3823297389047362	0.67821471708697545	false
Hs.105818_at	25	-0.043714469045739446	0.83563419305388531	0.93210887793448827	false
Hs.105887_at	25	0.426312786623052	0.033583205343898373	0.31114444563426286	false
