repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_2_condition_or_disease.txt	study_2_condition_or_disease.txt	119	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_2_panel.txt	study_2_panel.txt	171	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_2_protocol.txt	study_2_protocol.txt	51	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_categorization.txt	study_categorization.txt	84	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_data_release.txt	study_data_release.txt	140	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_file.txt	study_file.txt	372	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_link.txt	study_link.txt	165	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study_personnel.txt	study_personnel.txt	471	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/subject.txt	subject.txt	3299	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/treatment.txt	treatment.txt	255	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/workspace.txt	workspace.txt	68	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_manifest.txt	SDY1529-DR58_manifest.txt	1212	true	release_file	cached	SDY1529/SDY1529-DR58_manifest.txt	df9800c165cae35115a452f1a24edd6d3b7bc6a8a11ed99ca643f944cbb44258	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_summary.txt	SDY1529-DR58_summary.txt	30	true	release_file	cached	SDY1529/SDY1529-DR58_summary.txt	d1a7d7005d372498a40a56ca3f98906ae2e835f7271647f412445233e83b664d	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_table_count.txt	SDY1529-DR58_table_count.txt	2156	true	release_file	cached	SDY1529/SDY1529-DR58_table_count.txt	385d76301cb423b6ff972515d9a596de169e5d5a0367e7e74e3c956147d64f10	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1529.txt	StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1529.txt	1734	true	study_file	cached	SDY1529/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.6133.SDY1529.txt	3b45e50d63c0c8ee96aef6f2f6fdd82124a1731bed3cb866df25b198adb425e2	tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
