FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217576	11		Alexa Fluor 700-A	hHLA-DRA	DR
217576	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217578	13		Pacific Blue-A	hPDCD1	PD-1
217579	2		FSC-H		FSC-H
217579	10		APC-A	hSDC1	CD138
217581	7		ECD-A	hCD2	CD2
217581	11		Alexa Fluor 700-A	hHLA-DRA	DR
217581	13		Pacific Blue-A	hCD86	CD86
217581	14		Pacific Orange-A		VIVID
217581	15		Time		Time
217582	11		Alexa Fluor 700-A	hCD3E	CD3
217583	4	SSC	SSC-H	SSC	SSC-H
217583	9		PE-Cy7-A	hCD38	CD38
217583	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217584	15		Time		Time
217585	1		FSC-A		FSC-A
217585	10		APC-A	hTHBD	BDCA-3
217586	9		PE-Cy7-A	hICOS	ICOS
217586	13		Pacific Blue-A	hPDCD1	PD-1
217587	5		FITC-A	hIGHD	IgD
217587	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217588	9		PE-Cy7-A	hCCR7	CCR7
217588	10		APC-A	hSECISBP2L	SLAN
217590	2		FSC-H		FSC-H
217590	9		PE-Cy7-A	hICOS	ICOS
217591	5		FITC-A	hIGHD	IgD
217591	7		ECD-A	hCD19	CD19
217592	6		PE-A	hCD14	CD14
217592	9		PE-Cy7-A	hCCR7	CCR7
217593	3	SSC	SSC-A	SSC	SSC-A
217593	8		PE-Cy5-A	hCD40	CD40
217593	12		APC-H7-A	hITGAX	CD11c
217593	14		Pacific Orange-A		VIVID
217594	4	SSC	SSC-H	SSC	SSC-H
217594	7		ECD-A	hPTPRC/iso:h6	CD45RA
217594	11		Alexa Fluor 700-A	hCD3E	CD3
217594	12		APC-H7-A	hCD4	CD4
217595	2		FSC-H		FSC-H
217595	7		ECD-A	hCD19	CD19
217595	12		APC-H7-A	hCD27	CD27
217595	15		Time		Time
217596	1		FSC-A		FSC-A
217596	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217597	6		PE-A	hCLEC4C	BDCA-2
217598	6		PE-A	hCCR6	CCR6
217598	11		Alexa Fluor 700-A	hCD3E	CD3
217598	12		APC-H7-A	hCD4	CD4
217599	14		Pacific Orange-A		VIVID
217600	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217601	8		PE-Cy5-A	hCD40	CD40
217602	1		FSC-A		FSC-A
217602	2		FSC-H		FSC-H
